id,level,board,duration
1086,PhD in Mathematics,Kathmandu University,
1087,PhD in Statistics,Kathmandu University,
1088,PhD in Computer Science,Kathmandu University,
1089,PhD in Pharmacy,Kathmandu University,
1090,PhD in Biotechnology,Kathmandu University,
1091,PhD in Environmental Engineering,Kathmandu University,
1092,MD General Practice (MDGP),Kathmandu University,3 years
1093,DM Endocrinology,National Academy of Medical Sciences,3 years
1094,DM Medical Hematology,National Academy of Medical Sciences,3 years
1095,MCh Paediatric Surgery,National Academy of Medical Sciences,3 years
1096,DM Neonatology,Kathmandu University,3 years
1097,DM Pulmonology,Kathmandu University,3 years
1098,DM Pulmonology,National Academy of Medical Sciences,3 years
1099,DM Critical Care Medicine,Kathmandu University,3 years
1100,MSc IT & Applied Security,London Metropolitan University,2 years
1101,BBA with Specialisation in Events and Tourism Management,London Metropolitan University,4 years
1102,BBA with Specialization in Advertising and Marketing,London Metropolitan University,4 years
1103,BBA with Specialization in Digital Business Management,London Metropolitan University,4 years
1104,BSc (Hons) Computing with Artificial Intelligence,London Metropolitan University,3 years
1105,BBA (International Business),London Metropolitan University,4 years
1106,BSc (Hons) Computing,London Metropolitan University,3 years
1107,Master of Arts in Nepal Bhasa,Tribhuvan University,2 years
1108,Art of Thesis Writing,,
1109,BA(Hons) Accounting,UCSI University,3 years
1110,MSc in Sanitation Engineering,Tribhuvan University,2 years
1111,MSc in Information System Engineering,Tribhuvan University,2 years
1112,Certified Digital Marketing Professional Course,,3 months
1113,Air Hostess Training,,
1114,Nail extension/nail technician course,,
1115,Ski Training,,
1116,Bachelor of Economics and Bachelor of Law (BEc LLB),Kathmandu University,5 years
1117,Bachelor of International Hospitality Management (Hons),"Taylor's University, Malaysia",4 years
1118,Bachelor of Arts Bachelor of Laws (BALLB),Pokhara University,5 years
1119,Diploma in Culinary Entrepreneurship,"American Hospitality Academy, USA",9 months
1120,Fellowship in High Risk Pregnancy,Kathmandu University,24 months
1121,Fellowship in Otology Surgery,Kathmandu University,12 months
1122,Arabic Language Class,,
1123,Chinese Language Class,,
1124,French Language Class,,
1125,German Language Class,,
1126,Italian Language Class,,
1127,Japanese Language Class,,
1128,Korean Language Class,,
1129,Russian Language Class,,
1130,Spanish Language Class,,
1131,BIT-Tribhuvan University Entrance Exam,Tribhuvan University,
1132,Master of Fine Arts (MFA),Kathmandu University,2 years
1133,Bachelor of Technical Education in Information Technology (B Tech Ed IT),Kathmandu University,4 years
1134,Bachelor of Technical Education in Civil Engineering (B. Tech Ed),Kathmandu University,4 years
1135,Bachelor of Technical Education in Mechanical Engineering (B. Tech Ed),Kathmandu University,4 years
1136,Bachelor of Technical Education in Mechanical Engineering-Automobile (B. Tech Ed),Kathmandu University,4 years
1137,Master in Development Studies (MDS),Lumbini Buddhist University,2 years
1138,Master in Environmental Studies (MES),Lumbini Buddhist University,2 years
1139,Master in Business and Economics (MBE),Kathmandu University,2 years
1140,Bachelor in Traditional Buddhist Art (BTBA),Lumbini Buddhist University,4 years
1141,Master in Pali Buddhist Studies,Lumbini Buddhist University,2 years
1142,Master in Buddhism and Sustainable Development (MBSD),Lumbini Buddhist University,2 years
1143,Bachelors in Arts (BA),Lumbini Buddhist University,
1144,Master of Business Administration (MBA),Far-Western University,
1145,Master of Education (MEd),Far-Western University,
1146,Bachelor of Business Management (BBM),Far-Western University,
1147,BSc Physics,Far-Western University,
1148,Bachelor of Arts (BA),Far-Western University,
1149,Bachelor of Arts in Social Work (BASW),Far-Western University,
1150,Bachelor of Arts Bachelor of Law (BALLB),Far-Western University,
1151,BSc Biology,Far-Western University,
1152,Bachelor of Education (BEd),Far-Western University,
1153,BEd Computer Science and Information Technology,,
1154,IB Career-related Program (IB CP),International Baccalaureate,
1155,Bachelor of Business Administration (BBA),Gandaki University,4 years
1156,Bachelor of Arts Bachelor of Law (BALLB),Gandaki University,5 years
1157,Bachelor in Electrical and Electronics Engineering (BEExE),Manmohan Technical University,4 years
1158,Bachelor in Civil Engineering,Manmohan Technical University,4 years
1159,PhD in Sociology,Tribhuvan University,5 years
1160,Bachelor of Arts in Gender Studies,Tribhuvan University,4 years
1161,International Early Years Curriculum (IEYC),International Curriculum Association,
1162,International Primary Curriculum (IPC),International Curriculum Association,
1163,International Middle Years Curriculum (IMYC),International Curriculum Association,
1164,One Year B.Ed in Pedagogical Sciences,Nepal Open University,1 year
1165,Pokhara University Management Admission Test (PUMAT),,
1166,MPhil of Eastern Philosophy,Rajarshi Janak University,1 year 6 months
1167,Master of Information Technology (MIT),"​Infrastructure University, Kuala Lumpur",
1168,Master of Business Administration (MBA),"Glasgow Caledonian University, Scotland",2 years
1169,Bachelor of Business Administration (BBA),"Glasgow Caledonian University, Scotland",4 years
1170,Master in Urban Studies (MUS),Kathmandu University,2 years
1171,Masters in Media Studies (MMS),Kathmandu University,2 years
1172,Bachelor in Yogic Science and Wellbeing (BYSW),Kathmandu University,4 years
1173,PhD in Management,Pokhara University,5 years
1174,MPhil in Management,Pokhara University,
1175,PhD in Development Studies (PhD Devs),Pokhara University,3 years
1176,Bachelor of Science in Bioinformatics (BSc Bioinformatics),Kathmandu University,4 years
1177,Master in Health Informatics,Kathmandu University,
1178,Master of Science in Sanitary Engineering (MSc. Sanitary Engineering),Pokhara University,
1179,Master of Business Studies (MBS),Far-Western University,
1180,Bachelor in Computer Science (Hons),"Taylor's University, Malaysia",4 years
1181,BTech in Artificial Intelligence (BTech in AI),Purbanchal University,4 years
1182,Bachelor Degree in Social Work (BSW),Tribhuvan University,4 years
1183,Bachelor of Science in Agriculture (Hons.) (BSc Ag),Madhesh Agricultural University,4 years
1184,Bachelor of Arts,Nepal Open University,4 years
1185,Master of Science in Physics (MSc Physics),Mid-West University,2 years
1186,MSc in Computational Mathematics,Kathmandu University,2 years
1187,MSc Advanced Computer Science,Keele University,2 years
1188,BSc (Hons) Data Science,Keele University,4 years
1189,Doctoral in Buddhist Studies (PhD in Buddhist Studies),Lumbini Buddhist University,3 years
1190,Master in Development Studies (Mdevs),Kathmandu University,2 years
1191,Master of Laws (LLM) in Energy and Infrastructure Law,Kathmandu University,2 years
1192,Master of Educational Science in Digital Pedagogy (MES DP),Tribhuvan University,2 years
1193,Master of Science in Mountain and Mountaineering Science (MSc MMS),Tribhuvan University,2 years
1194,MA in Anthropology (MA Anthropology),Mid-West University,2 years
1195,Bachelors in Midwifery Science (BMS),Patan Academy of Health Sciences,3 years
1196,Bachelors in Midwifery Science,Tribhuvan University,3 years
1197,Bachelor in Pharmacy (B.Pharm),Karnali Academy of Health Sciences,4 years
1198,Bachelor in Pharmacy (B.Pharm),Manmohan Technical University,4 years
1199,BSc Nursing,Madan Bhandari Academy of Health Sciences,4 years
1200,BSc Nursing,National Academy of Medical Sciences,4 years
1201,BSc Nursing,Pokhara Academy of Health Sciences,4 years
1202,BSc Nursing,Rapti Academy of Health Sciences,4 years
1203,Bachelor of Nursing Science (BNS),Karnali Academy of Health Sciences,3 years
1204,Bachelor of Nursing Science (BNS),Pokhara Academy of Health Sciences,3 years
1205,Bachelor of Nursing Science (BNS),Rapti Academy of Health Sciences,3 years
1206,Master of Physiotherapy (MPT),Kathmandu University,3 years
1207,Master in Nursing,Patan Academy of Health Sciences,2 years
1208,MD/MS Clinical Science,Karnali Academy of Health Sciences,3 years
1209,Master in Dental Surgery (MDS),Tribhuvan University,3 years
1210,Master in Nursing,Tribhuvan University,2 years
1211,Master in Dental Surgery (MDS),Kathmandu University,3 years
1212,MD/MS,Madhesh Institute of Health Sciences,3 years
1213,Master in Energy and Infrastructure Law (MEIL),Kathmandu University,2 years
1214,MSc Health Policy and Management,Manmohan Technical University,2 years
1215,MSc Nursing,BPKIHS,3 years
1216,MSc Construction Project Management,Far-Western University,2 years
1217,MD Anaesthesiology,Patan Academy of Health Sciences,3 years
1218,MD Dermatology,Patan Academy of Health Sciences,3 years
1219,MD Pathology,Patan Academy of Health Sciences,3 years
1220,Bachelor of Craft and Design (BCDes),Kathmandu University,4 years
1221,Bachelor Degree in Data Science (BDS),Tribhuvan University,4 years
1222,PharmD (Post Baccalaureate),Kathmandu University,3 years
1223,MSc in Environmental Science,Kathmandu University,2 years
1224,MSc in Disaster Risk Engineering and Management,Lumbini Buddhist University,
1225,MSc in Construction Engineering and Management,Lumbini Buddhist University,
1226,MSc in Construction Management,Purbanchal University,2 years
1227,MSc in Electrical Power Engineering,Purbanchal University,2 years
1228,Master in Indigenous  Education and Development (One Year) (MIED),Kathmandu University,1 year
1229,PhD in Education,Nepal Open University,3 years
1230,Master in Writing and Literacy Studies (MWLS),Kathmandu University,2 years
1231,MBA in Hospitality,Queen Margaret University (UK),2 years
1232,Master of Education in School Counseling (One Year),Kathmandu University,1 year
1233,Post Graduate Diploma in STEAM Education,Kathmandu University,1 year
1234,Bridge Course for MEd in Mathematics Education,Kathmandu University,6 months
1235,BSc (Hons) Computer Science and Artificial Intelligence,Birmingham City University,4 years
1236,Kathmandu University Management Admission Test (KUMAT),,
1237,Bachelor in Psychology (BPsych),Kathmandu University,4 years
1238,"10+2 Computer Science - National Examination Board and NCC Education, UK (+2 Computer Science)",National Examinations Board,2 years
1239,Professional Cook Training,CTEVT,6 months
1240,Professional Carpentry Training,CTEVT,1 year
1241,Receptionist Cum Cashier Training,CTEVT,3 months
1242,Beautician Training,,3 months
1243,Mobile Phone Repair Technician Training,CTEVT,
1244,Crafting Cinema,Kathmandu University,45 days
1245,National Licensure Examination for Nurses (NLEN),,
1246,National Specialization Registration Examination for Nurses (NSREN),,
1247,National Licensure Examination for Midwives (NLEM),,
1248,Nepal Medical Council Licensing Exam (NMCLE),,
1249,Diploma in Agricultural Engineering,CTEVT,
1250,Diploma in Biomedical Engineering,CTEVT,3 years
1251,Bachelor of Engineering in Mining Engineering,Kathmandu University,4 years
1252,Bachelor of Arts in English with Honors,Purbanchal University,4 years
1253,Master of Arts in English,Purbanchal University,2 years
1254,BSc (Hons) Computer Science,The University of Westminster,4 years
1255,BSc (Hons) Cyber Security and Forensics,The University of Westminster,4 years
1256,Bachelor in Hospitality and Tourism Management (BHTM),Lumbini Buddhist University,
1257,Advanced AI Program,,6 months
1258,Bachelor of Technology in Computer Science and Artificial Intelligence (B.Tech in CS and AI),Lumbini Technological University,4 years
1259,BTech in Information Technology (BTech in IT),Lumbini Technological University,4 years
1260,Bachelor in Public Administration and Management (BPAM),Madhesh University,4 years
1261,Bachelor of Arts and Bachelor of Laws (BALLB),Madhesh University,5 years
1262,MSc Applied Computing and Information Technology with Project Management,University of Bedfordshire,2 years
1263,Bsc (Computer Science & Software Engineering) Foundation (Bsc (CS & SE) Foundation),University of Bedfordshire,3 years
1264,Bsc (Computer Science & Software Engineering) Top-Up (Bsc (CS & SE) Top-Up),University of Bedfordshire,1 year
1265,BA (Hons) Business Administration (Top-Up) (BBA (Hons) Top-Up),University of Bedfordshire,1 year
1266,BA (Hons) in Business Administration (Foundation) (BBA (Hons) Foundation),University of Bedfordshire,3 years
1267,Bachelor of Science in Forestry (BSc Forestry) (BSc Forestry),Far-Western University,4 years
1268,Bachelor of Law (LLB),Purbanchal University,3 years
1269,Bachelor of Business Administration (BBA),"Nilai University, Malaysia",4 years
1270,BSc Environmental Science,Mid-West University,4 years
1271,BSc (Hons) Computer Science,"University of Northampton, UK",
1272,Bachelor of Information Technology (BIT),Mid-West University,4 years
1273,Bachelor of Social Studies Education (BSSED),Tribhuvan University,4 years
1274,Bachelor of Business Administration (BBA),International American University,4 years
1275,Master of Business Administration (MBA),International American University,2 years
1276,BSc (Hons) Cyber Security and Digital Forensics,University of Sunderland,3 years
1277,Master's in International Relations and Peace Studies,Lumbini Buddhist University,
1278,PhD in Forest Biomaterials Science and Engineering,Madan Bhandari University of Science and Technology,
1279,Master's in Forest Biomaterials Science and Engineering,Madan Bhandari University of Science and Technology,
1280,PhD in Organic Agriculture,Madan Bhandari University of Science and Technology,
1281,Master's in Organic Agriculture,Madan Bhandari University of Science and Technology,
1282,Master's in Tourism Infrastructure,Madan Bhandari University of Science and Technology,
1283,PCL Midwifery,CTEVT,3 years
1284,Bsc (Hons) Computer Science,University of East London,3 years
1285,Bsc (Hons) Data Science and Artificial Intelligence,University of East London,3 years
1286,Bsc (Hons) Cyber Security and Networks,University of East London,3 years
1287,BSc (Hons) Computer Science with AI,"Coventry University, UK",3 years
1288,Bachelors of Information Technology (BIT),International American University,4 years
1289,Master of Public Health (MPH),Karnali Academy of Health Sciences,
1290,Master of Pharmacy (MPH),Karnali Academy of Health Sciences,
1291,Masters in Economics (MECON),Kathmandu University,2 years
1292,Master in Pedagogical Sciences (MPS),Nepal Open University,1 year
1293,Master Degree in Media and Communication (MiMCS),Nepal Open University,
1294,Bachelor of Science in Computer Science (BSCS),"Westcliff University, CA, USA",4 years
1295,BBA FinTech,"Westcliff University, CA, USA",4 years
1296,BBA Business Analytics,"Westcliff University, CA, USA",4 years
1297,BSIT Software and Web App Development,"Westcliff University, CA, USA",4 years
1298,"BSIT Network, Cybersecurity and Ethical Hacking","Westcliff University, CA, USA",4 years
1299,BSIT Mobile App Development,"Westcliff University, CA, USA",4 years
1300,PGD Education,Tribhuvan University,1 year 6 months
1301,Hand Embroidery Course,CTEVT,3 months
1302,Basic Fashion Design Course,CTEVT,3 months
1303,Basic Cooking Course,CTEVT,3 months
1304,Special Cooking Course,CTEVT,1 month
1305,Basic Barista,CTEVT,21 days
1306,Advanced Barista,CTEVT,3 months
1307,Basic Bakery,CTEVT,1 month
1308,Advanced Bakery,CTEVT,3 months
1309,Diploma in Culinary Arts,CTEVT,
1310,Vocational Diploma in Barista,,
1311,Professional Barista,,
1312,Ten Plus Two in Hotel Management (+2 in HM),,
1313,International Air Hostess Training,,3 months
1314,Diploma Cabin Crew Course,,4 months
1315,Grooming & Personality Development,,10 days
1316,Diploma in Airhostess Training,,
1317,First Aid Training,,
1318,Ground Staff/Handling Training,,
1319,Bartending Training,,45 days
1320,Advanced Integrated Animation (AIA),,
1321,Computer Animation and Visual Effects,,
1322,FX Houdini,,6 months
1323,VFX,,
1324,Masters in Cosmetology,,1 year
1325,Diploma in Cosmetology,,6 months
1326,International Diploma in Makeup,,3 months
1327,Diploma in Makeup,,1 month
1328,Italian Food Training,,
1329,Diploma in Boutique Management with Retail Operation,,
1330,Diploma in Fashion Accessories,,
1331,Diploma in Pattern Construction,,
1332,Web Development,,
1333,Mobile App Development,,
1334,Pre-Diploma in Bakery,CTEVT,6 months
1335,Film Acting,,
1336,Direction,,
1337,Cinematography,,
1338,Sound Design,,
1339,Digital Marketing Course,,
1340,Basic Boutique Course,,3 months
1341,Advance Boutique Course,,6 months
1342,Public Speaking Training,,
1343,Psychological Counseling Training,,
1344,Singapore Police Force,,
1345,British Gurkha Army,,
1346,Indian Gorkha Army,,
1347,Nepal Army,,
1348,Professional Cookery,,3 months
1349,Engineering Exam Preparation,,
1350,Level 2 Diploma in Air Cabin Crew,,
1351,Advanced Diploma in International Tourism,,1 year
1352,Aircraft Maintenance Engineering (AME),,
1353,Acting Training,,3 months
1354,Script Writing Training,,3 months
1355,Directing Training,,3 months
1356,Advance Diploma in CGI,,1 year 6 months
1357,Advanced Diploma in CGI Designing & Animation,,2 years
1358,Diploma in Character Animation,,6 months
1359,Diploma in Graphic Design,,3 months
1360,Makeup Training,,
1361,Basic Beautician,CTEVT,
1362,Advanced Beautician,CTEVT,
1363,Diploma in Professional Culinary Art,International Executive School,1 year
1364,Diploma in Professional Hotel Management,International Executive School,1 year
1365,Diploma in Bakery Arts,International Executive School,
1366,Advanced Barista,International Executive School,
1367,Level 2 Diploma in Culinary Skills,CTH,
1368,Level 2 Diploma in Patisserie and Confectionery Skills,CTH,
1369,Level 3 Diploma in Professional Cookery,CTH,
1370,Level 3 Diploma in Professional Cookery – Confectionery and Patisserie,CTH,
1371,Level 3 Foundation Diploma in Hospitality and Tourism,CTH,
1372,Level 4 Diploma in Tourism Management,CTH,
1373,Level 4 Diploma in Hospitality Management,,
1374,MA in Dance,Tribhuvan University,2 years
1375,Bachelor of Information Technology (BIT),Kathmandu University,4 years
1376,Master's of Applied Science in Artificial Intelligence,Madan Bhandari University of Science and Technology,
1377,Master's of Applied Science in Data Science,Madan Bhandari University of Science and Technology,
1378,MSc in Computer Engineering Specialization in Networks and Cyber Security,Tribhuvan University,2 years
1379,Continental Cook,CTEVT,3 months
1380,General Cook,CTEVT,3 months
1381,Hotel Assistant,CTEVT,3 months
1382,"Barista Skills- Introduction to Coffee, Foundation and Intermediate Course",CTEVT,15 days
1383,PhD in Management,Mid-West University,5 years
1384,PhD in Law,Tribhuvan University,
1385,Bachelor in Aviation Management,Kathmandu University,4 years
1386,MBA in Hospitality Managment,Lincoln University College,2 years
1387,Masters in STEAM Education,Kathmandu University,2 years
1388,Bachelor of Technical Education in Information Technology,Kathmandu University,4 years
1389,"Bachelor of English Studies, Bachelor of Education (TESOL)",Kathmandu University,4 years
1390,Master of Computer Application (MCA),Tribhuvan University,2 years
1391,PhD in Health Sciences,Pokhara University,
1392,MBA in Information Technology (MBA in IT),"Westcliff University, CA, USA",2 years
1393,Nepal Financial Reporting Standards (NFRS),ACCA,6 months
1394,Nepal Accounting Standards for Not-for Profit Organizations,ACCA,6 months
1395,Master of Education in Inclusive and Special Needs Education,Kathmandu University,1 year
1396,PGDE in Inclusive and Special Needs Education,Kathmandu University,1 year
1397,Master of Education in School Counselling,Kathmandu University,2 years
1398,Diploma in Special Needs Education,Kathmandu University,6 months
1399,Master of Education in STEAM Education (2 Year),Kathmandu University,2 years
1400,"Bachelor in Educational Sciences in Education, Planning and Management",Mid-West University,4 years
1401,One Year Bachelor of Education (BEd),Nepal Sanskrit University,1 year
1402,Uttar Madhyama,Nepal Sanskrit University,2 years
1403,BSc Physics,Mid-West University,4 years
1404,Shastri,Nepal Sanskrit University,3 years
1405,MEd in English Language Education,Tribhuvan University,2 years
1406,BSc Chemistry,Mid-West University,4 years
1407,BSc in  Biochemistry,Purbanchal University,4 years
1408,BSc in Statistics,Mid-West University,4 years
1409,Bachelor of Commerce Studies (BCS),Purbanchal University,3 years
1410,Bachelor of Interior Design (BID),Purbanchal University,4 years
1411,Bachelor of Civil Engineering (BE Civil),Mid-West University,4 years
1412,Bachelor of Arts (BA),Purbanchal University,4 years
1413,Bachelor of Business Studies (BBS),Purbanchal University,3 years
1414,Bachelor of Education (BEd),Purbanchal University,3 years
1415,Bachelor of Computer Engineering (BE),Mid-West University,4 years
1416,Bachelor of Arts in Development Economics (BA DE),Mid-West University,4 years
1417,Bachelor of Arts in International Relations and Diplomacy (BA IR),Mid-West University,4 years
1418,Master of Educational Sciences in English (MES English),Mid-West University,2 years
1419,Bachelor in Educational Sciences in Health and Physical Education,Mid-West University,4 years
1420,Bachelor in Educational Sciences in Mathematics,Mid-West University,4 years
1421,Bachelor in Educational Sciences in English,Mid-West University,4 years
1422,Bachelor of Arts in Mathematics (BSc Maths),Mid-West University,4 years
1423,BSc Zoology,Mid-West University,4 years
1424,MEd in English Language Teaching (MEd in ELT),Kathmandu University,2 years
1425,Bachelor of Hospitality and Catering Management (BHCM),Purbanchal University,4 years
1426,One year Bachelor of Education (BEd),Tribhuvan University,1 year
1427,BA in Journalism and Mass Communication (BJMC),Purbanchal University,3 years
1428,One year Bachelor's of Education (BEd),Purbanchal University,1 year
1429,Bachelor of Arts in Linguistics (BA Linguistics),Tribhuvan University,4 years
1430,Bachelor of Arts in Anthropology (BA Anthropology),Tribhuvan University,4 years
1431,Bachelor of Arts in Music (BA Music),Tribhuvan University,4 years
1432,"Bachelor of Arts in Nepalese History, Culture and Archaeology (BA NeHCA)",Tribhuvan University,4 years
1433,Bachelor of Arts in Buddhist Studies (BA Buddhist Studies),Tribhuvan University,4 years
1434,One year Bachelor of Education (BEd),Nepal Open University,1 year
1435,Bachelor of Arts in Hindi (BA Hindi),Tribhuvan University,4 years
1436,Bachelor of Arts in History (BA History),Tribhuvan University,4 years
1437,Bachelor of Arts in Population Studies,Tribhuvan University,4 years
1438,MEd in English Language Teaching (One Year) (M Ed in ELT),Kathmandu University,1 year
1439,Bachelor of Arts in Journalism and Mass Communication (BJM),Mid-West University,4 years
1440,Bachelor of Arts in Rural Development (BRD),Mid-West University,4 years
1441,Bachelor of Arts in Sociology (BA Sociology),Mid-West University,4 years
1442,Bachelor of Arts in English (BA English),Mid-West University,4 years
1443,Bachelor of Arts in Strategic Studies (BA Strategic Studies),Tribhuvan University,4 years
1444,Bachelor of Arts in Political Science (BA Political Science),Tribhuvan University,4 years
1445,Bachelor of Arts in Dance (BA Dance),Tribhuvan University,4 years
1446,Bachelor of Arts  in Economics (BA Economics),Tribhuvan University,4 years
1447,Bachelor of Arts in Sanskrit (BA Sanskrit),Tribhuvan University,4 years
1448,Bachelor of Arts in Nepal Bhasa (BA Nepal Bhasa),Tribhuvan University,4 years
1449,Bachelors in Nepali (BA in Nepali),Tribhuvan University,4 years
1450,Bachelor of Arts  in Maithili (BA Maithili),Tribhuvan University,4 years
1451,BSc Agriculture (BSc Ag),Mid-West University,4 years
1452,BSc Human Biology,Kathmandu University,4 years
1453,Bachelor’s Degree Programme in Commerce (B.Com),Indira Gandhi National Open University,3 years
1454,Bachelor of Arts (BA),Indira Gandhi National Open University,3 years
1455,Bachelor's Degree in Tourism Studies (BTS),Indira Gandhi National Open University,3 years
1456,Bachelor in Computer Applications (BCA),Indira Gandhi National Open University,3 years
